league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ENG-Premier League,1011,Arsenal,2010-08-15 Liverpool-Arsenal,2010-08-15,,Matchweek 1,Sun,Away,D,1,1,Liverpool,,44722,,4-5-1,4-2-3-1,Martin Atkinson,/en/matches/4d2dd8b3/Liverpool-Arsenal-August-15-2010-Premier-League,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-08-21 Arsenal-Blackpool,2010-08-21,,Matchweek 2,Sat,Home,W,6,0,Blackpool,,60032,,4-3-3,4-3-3,Mike Jones,/en/matches/9e517d4d/Arsenal-Blackpool-August-21-2010-Premier-League,,,0,,,1,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-08-28 Blackburn-Arsenal,2010-08-28,,Matchweek 3,Sat,Away,W,2,1,Blackburn,,25059,,4-2-3-1,4-3-3,Chris Foy,/en/matches/2b39e7c0/Blackburn-Rovers-Arsenal-August-28-2010-Premier-League,,,1,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-09-11 Arsenal-Bolton,2010-09-11,,Matchweek 4,Sat,Home,W,4,1,Bolton,,59876,,4-5-1,4-4-2,Stuart Attwell,/en/matches/8e9a6c63/Arsenal-Bolton-Wanderers-September-11-2010-Premier-League,,,1,,,0,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-09-18 Sunderland-Arsenal,2010-09-18,,Matchweek 5,Sat,Away,D,1,1,Sunderland,,38950,,4-2-3-1,4-5-1,Phil Dowd,/en/matches/66b3fe8e/Sunderland-Arsenal-September-18-2010-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-09-25 Arsenal-West Brom,2010-09-25,,Matchweek 6,Sat,Home,L,2,3,West Brom,,60025,,4-2-3-1,4-5-1,Michael Oliver,/en/matches/2b9dadaa/Arsenal-West-Bromwich-Albion-September-25-2010-Premier-League,,,3,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-10-03 Chelsea-Arsenal,2010-10-03,,Matchweek 7,Sun,Away,L,0,2,Chelsea,,41828,,4-5-1,4-3-3,Mike Dean,/en/matches/a10d839a/North-West-London-Derby-Chelsea-Arsenal-October-3-2010-Premier-League,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-10-16 Arsenal-Birmingham City,2010-10-16,,Matchweek 8,Sat,Home,W,2,1,Birmingham City,,60070,,4-5-1,4-5-1,Martin Atkinson,/en/matches/44dd7154/Arsenal-Birmingham-City-October-16-2010-Premier-League,,,1,,,0,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-10-24 Manchester City-Arsenal,2010-10-24,,Matchweek 9,Sun,Away,W,3,0,Manchester City,,47393,,4-5-1,4-5-1,Mark Clattenburg,/en/matches/06943b36/Manchester-City-Arsenal-October-24-2010-Premier-League,,,0,,,1,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ENG-Premier League,1011,Arsenal,2010-10-30 Arsenal-West Ham,2010-10-30,,Matchweek 10,Sat,Home,W,1,0,West Ham,,60086,,4-2-3-1,4-5-1,Mike Jones,/en/matches/2dc0c516/Arsenal-West-Ham-United-October-30-2010-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
