league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ESP-La Liga,0809,Almería,2008-08-31 Athletic Club-Almería,2008-08-31,,Matchweek 1,Sun,Away,W,3,1,Athletic Club,,,,4-3-3,4-4-2,Teixeira Vitienes,/en/matches/2bad6996/Athletic-Club-Almeria-August-31-2008-La-Liga,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-09-14 Almería-Valencia,2008-09-14,,Matchweek 2,Sun,Home,D,2,2,Valencia,,,,4-3-3,4-2-3-1,Velasco Carballo,/en/matches/51f61160/Almeria-Valencia-September-14-2008-La-Liga,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-09-21 Almería-Málaga,2008-09-21,,Matchweek 3,Sun,Home,W,1,0,Málaga,,,,4-2-3-1,4-2-3-1,Mejuto González,/en/matches/b8ce2e8e/Almeria-Malaga-September-21-2008-La-Liga,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-09-25 Valladolid-Almería,2008-09-25,,Matchweek 4,Thu,Away,L,0,2,Valladolid,,,,4-2-3-1,4-2-3-1,González Vázquez,/en/matches/ded0fb85/Valladolid-Almeria-September-25-2008-La-Liga,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-09-28 Almería-Recreativo,2008-09-28,,Matchweek 5,Sun,Home,W,1,0,Recreativo,,,,4-2-3-1,4-4-2,Clos Gómez,/en/matches/ffb34cff/Almeria-Recreativo-September-28-2008-La-Liga,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-10-05 Getafe-Almería,2008-10-05,,Matchweek 6,Sun,Away,D,2,2,Getafe,,,,4-2-3-1,4-1-2-1-2,Mateu Lahoz,/en/matches/8d5cb86f/Getafe-Almeria-October-5-2008-La-Liga,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-10-19 Almería-Sevilla,2008-10-19,,Matchweek 7,Sun,Home,L,0,1,Sevilla,,,,4-2-3-1,4-2-3-1,Daudén Ibáñez,/en/matches/f49976c1/Almeria-Sevilla-October-19-2008-La-Liga,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-10-25 Barcelona-Almería,2008-10-25,,Matchweek 8,Sat,Away,L,0,5,Barcelona,,,,4-3-3,4-3-3,Pérez Burrull,/en/matches/d3160364/Barcelona-Almeria-October-25-2008-La-Liga,,,5,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-11-02 Almería-Real Madrid,2008-11-02,,Matchweek 9,Sun,Home,D,1,1,Real Madrid,,,,4-5-1,4-2-3-1,González Vázquez,/en/matches/ec20b2ab/Almeria-Real-Madrid-November-2-2008-La-Liga,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ESP-La Liga,0809,Almería,2008-11-09 Villarreal-Almería,2008-11-09,,Matchweek 10,Sun,Away,L,1,2,Villarreal,,,,4-3-3,4-4-2,Rodríguez Santiago,/en/matches/24200c42/Villarreal-Almeria-November-9-2008-La-Liga,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
