league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Performance PSxG,Performance PSxG+/-,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
FRA-Ligue 1,2324,Brest,2023-08-13 Brest-Lens,2023-08-13,13:00:00,Matchweek 1,Sun,Home,W,3,2,Lens,2.5,0.7,48,15085,Brendan Chardonnet,4-2-3-1,3-4-3,Jérémie Pignard,/en/matches/6e29d5a3/Brest-Lens-August-13-2023-Ligue-1,,2,2,0,0.0,0,0.8,-1.2,0,0,0,0,9,15,60.0,25,5,40.0,37.5,7,71.4,42.9,14,2,14.3,2,14.0,3,13,6,46.2,0.08,0.17,20.9,1,2,2,2.5,1.0,0.07,0.5,0.0,317,413,76.8,6099,2421,118,137,86.1,136,169,80.5,43,74,58.1,0,0.5,0.5,8,28,8,2,35,413,360,53,16,1,1,28,21,6,6,0,0,317,0,11,26,17,2,2,1,4,0,5,3,0,0,0,2,0,19,11,8,4,7,6,15,40.0,9,13,3,10,8,27,24,0,561,72,185,249,137,18,559,27,10,37.0,14,51.9,360,2317,976,17,11,0,26,8,311,33,2,0,0,13,15,0,28,8,11,2,0,0,55,15,19,44.1
FRA-Ligue 1,2324,Brest,2023-08-20 Le Havre-Brest,2023-08-20,15:00:00,Matchweek 2,Sun,Away,W,2,1,Le Havre,1.1,1.2,44,19574,Brendan Chardonnet,4-3-3,5-3-2,Florent Batta,/en/matches/680c6c1d/Le-Havre-Brest-August-20-2023-Ligue-1,,7,1,6,85.7,0,1.5,0.5,0,0,0,0,12,30,40.0,28,2,71.4,46.6,11,90.9,57.9,13,0,0.0,1,24.5,2,10,5,50.0,0.2,0.4,15.4,0,0,0,1.1,1.1,0.11,0.9,0.9,286,398,71.9,5824,2173,104,129,80.6,129,166,77.7,42,82,51.2,2,0.9,0.7,7,12,6,2,22,398,335,61,22,1,3,16,23,3,1,2,0,286,2,3,16,9,3,0,1,1,2,4,3,1,0,0,0,0,23,13,9,12,2,10,30,33.3,20,14,5,9,10,33,20,0,522,63,195,235,97,12,522,19,6,31.6,11,57.9,320,1566,669,9,11,1,17,4,284,22,2,0,0,15,18,2,16,10,13,0,0,0,51,21,27,43.8
FRA-Ligue 1,2324,Brest,2023-08-26 Marseille-Brest,2023-08-26,19:00:00,Matchweek 3,Sat,Away,L,0,2,Marseille,1.5,2.9,56,63592,Brendan Chardonnet,4-3-3,4-4-2,Jeremy Stinat,/en/matches/b9c29ee4/Marseille-Brest-August-26-2023-Ligue-1,,6,2,4,66.7,0,2.7,0.7,0,0,0,0,5,11,45.5,28,7,28.6,29.6,7,42.9,38.3,12,1,8.3,1,9.9,0,18,6,33.3,0.0,0.0,16.7,0,0,0,1.5,1.5,0.08,-1.5,-1.5,470,571,82.3,9179,3231,159,179,88.8,237,267,88.8,61,97,62.9,0,1.4,1.5,14,45,17,5,58,571,526,44,6,3,3,38,18,10,5,5,0,470,1,10,31,25,2,0,2,1,1,0,0,0,0,0,0,0,17,15,5,9,3,5,14,35.7,9,11,4,7,11,28,11,0,675,62,175,294,212,29,675,19,7,36.8,12,63.2,513,3201,1466,30,25,5,14,9,467,58,1,0,0,8,4,1,38,11,15,0,0,0,59,16,11,59.3
FRA-Ligue 1,2324,Brest,2023-09-02 Brest-Rennes,2023-09-02,17:00:00,Matchweek 4,Sat,Home,D,0,0,Rennes,1.4,0.3,48,15021,Brendan Chardonnet,4-2-3-1,4-3-3,Hakim Ben El Hadj Salem,/en/matches/38572486/Brest-Rennes-September-2-2023-Ligue-1,,3,0,3,100.0,1,0.5,0.5,0,0,0,0,4,13,30.8,27,0,40.7,35.3,4,50.0,50.5,9,0,0.0,0,11.3,0,13,2,15.4,0.0,0.0,17.4,1,0,0,1.4,1.4,0.1,-1.4,-1.4,356,462,77.1,7005,2163,141,162,87.0,152,180,84.4,54,88,61.4,0,1.3,1.3,9,25,7,3,33,462,417,45,13,0,7,25,20,7,3,2,0,356,0,18,24,18,2,1,2,1,0,0,0,0,0,0,0,0,14,10,6,8,0,8,19,42.1,11,9,2,7,3,17,20,0,574,63,177,275,131,18,574,20,8,40.0,11,55.0,395,2370,1134,16,18,5,18,2,353,32,3,0,0,12,11,0,25,3,10,0,0,0,61,15,9,62.5
FRA-Ligue 1,2324,Brest,2023-09-17 Reims-Brest,2023-09-17,15:00:00,Matchweek 5,Sun,Away,W,2,1,Reims,1.5,1.7,48,12948,Brendan Chardonnet,4-3-3,4-3-3,Gaël Angoula,/en/matches/f12c7a9a/Reims-Brest-September-17-2023-Ligue-1,,7,1,6,85.7,0,1.5,0.5,0,0,0,0,15,25,60.0,24,1,75.0,48.3,7,100.0,61.3,20,2,10.0,0,4.0,2,18,5,27.8,0.11,0.4,17.5,1,0,0,1.5,1.5,0.09,0.5,0.5,291,410,71.0,6397,2599,110,145,75.9,105,138,76.1,64,102,62.7,1,0.9,1.2,11,31,11,7,26,410,356,54,9,1,7,32,28,8,6,2,0,291,0,9,29,20,2,0,5,2,0,3,2,0,0,1,0,0,18,11,7,8,3,12,28,42.9,16,11,1,10,11,29,28,0,539,65,176,208,168,34,539,23,14,60.9,9,39.1,322,1738,690,18,13,6,17,11,286,26,4,0,0,12,6,0,32,11,11,0,0,0,63,15,13,53.6
FRA-Ligue 1,2324,Brest,2023-09-23 Brest-Lyon,2023-09-23,21:00:00,Matchweek 6,Sat,Home,W,1,0,Lyon,2.4,0.4,57,14636,Brendan Chardonnet,4-2-3-1,4-1-4-1,Thomas Léonard,/en/matches/7ae5c7ed/Brest-Lyon-September-23-2023-Ligue-1,,3,0,3,100.0,1,0.6,0.6,0,0,0,0,11,18,61.1,34,5,44.1,39.4,3,100.0,52.7,5,0,0.0,4,31.8,1,27,11,40.7,0.04,0.09,15.6,0,0,0,2.4,2.4,0.09,-1.4,-1.4,370,494,74.9,7701,2961,141,173,81.5,153,188,81.4,69,114,60.5,1,2.2,1.8,23,32,12,6,41,494,439,54,16,1,5,32,24,10,4,6,0,370,1,6,48,33,5,3,6,0,1,2,2,0,0,0,0,0,21,15,5,14,2,5,10,50.0,5,7,1,6,11,32,11,0,617,45,158,292,176,46,617,26,16,61.5,10,38.5,416,2666,1208,26,14,8,15,9,366,40,3,0,0,17,15,1,32,11,15,0,0,0,74,27,10,73.0
FRA-Ligue 1,2324,Brest,2023-10-01 Nice-Brest,2023-10-01,15:00:00,Matchweek 7,Sun,Away,D,0,0,Nice,0.2,1.1,46,32044,Brendan Chardonnet,4-2-3-1,4-3-3,Romain Lissorgue,/en/matches/49bbb3f4/Nice-Brest-October-1-2023-Ligue-1,,1,0,1,100.0,1,0.1,0.1,0,0,0,0,8,20,40.0,24,3,45.8,38.7,10,90.0,57.9,14,0,0.0,1,21.5,0,7,2,28.6,0.0,0.0,28.9,1,0,0,0.2,0.2,0.02,-0.2,-0.2,292,400,73.0,5713,2220,120,139,86.3,116,146,79.5,46,87,52.9,0,0.1,0.3,4,27,6,2,33,400,357,41,12,1,5,26,14,4,1,3,0,292,2,15,12,8,0,2,1,1,0,0,0,0,0,0,0,0,30,20,17,9,4,12,28,42.9,16,12,3,9,8,38,17,0,518,64,180,203,142,10,518,15,8,53.3,7,46.7,336,2093,986,20,20,4,20,6,288,33,3,0,0,9,12,2,26,8,20,0,0,0,59,13,9,59.1
FRA-Ligue 1,2324,Brest,2023-10-08 Brest-Toulouse,2023-10-08,15:00:00,Matchweek 8,Sun,Home,D,1,1,Toulouse,1.5,1.2,55,13549,Brendan Chardonnet,4-2-3-1,4-4-1-1,Pierre Gaillouste,/en/matches/f41980c3/Brest-Toulouse-October-8-2023-Ligue-1,,3,1,2,66.7,0,1.0,0.0,0,0,0,0,8,15,53.3,36,5,36.1,32.6,3,66.7,49.7,13,1,7.7,0,9.0,1,13,2,15.4,0.08,0.5,15.4,0,0,0,1.5,1.5,0.11,-0.5,-0.5,386,500,77.2,7562,2426,144,185,77.8,169,191,88.5,59,100,59.0,0,0.9,1.0,10,36,5,1,36,500,455,45,19,0,7,22,18,3,0,2,0,386,0,13,23,12,4,1,1,4,1,1,0,0,0,1,0,0,15,10,8,7,0,5,15,33.3,10,12,5,7,9,24,16,1,608,70,183,300,134,20,608,19,10,52.6,4,21.1,426,2595,1155,12,14,3,14,8,384,36,2,0,0,18,18,0,22,9,10,0,0,0,63,23,13,63.9
FRA-Ligue 1,2324,Brest,2023-10-22 Lille-Brest,2023-10-22,15:00:00,Matchweek 9,Sun,Away,L,0,1,Lille,0.8,1.6,57,34358,Brendan Chardonnet,4-3-3,4-2-3-1,Hakim Ben El Hadj Salem,/en/matches/de708e26/Lille-Brest-October-22-2023-Ligue-1,,4,1,3,75.0,0,1.6,0.6,0,0,0,0,7,12,58.3,29,2,34.5,33.9,3,66.7,49.7,6,0,0.0,3,25.0,0,9,1,11.1,0.0,0.0,18.4,1,0,0,0.8,0.8,0.09,-0.8,-0.8,432,546,79.1,8607,2830,140,169,82.8,212,237,89.5,65,113,57.5,0,0.4,0.8,4,31,9,5,46,546,496,49,11,4,4,26,28,5,2,3,0,432,1,9,14,10,1,0,0,2,1,0,0,0,0,0,0,0,28,16,11,12,5,10,24,41.7,14,12,1,11,11,39,13,1,663,53,211,318,143,15,663,27,12,44.4,15,55.6,486,2754,1221,21,12,5,18,15,429,46,3,0,0,13,12,1,26,11,16,0,0,0,75,11,21,34.4
FRA-Ligue 1,2324,Brest,2023-10-29 Brest-Paris S-G,2023-10-29,13:00:00,Matchweek 10,Sun,Home,L,2,3,Paris S-G,1.8,2.1,44,15183,Brendan Chardonnet,4-2-3-1,4-2-2-2,Jérôme Brisard,/en/matches/3fc4e3ce/Brest-Paris-Saint-Germain-October-29-2023-Ligue-1,,10,3,6,70.0,0,2.7,-0.3,1,0,1,0,9,20,45.0,24,1,54.2,41.0,7,100.0,59.6,4,0,0.0,3,25.5,2,21,5,23.8,0.1,0.4,16.2,0,0,0,1.8,1.8,0.09,0.2,0.2,339,434,78.1,6672,2651,141,156,90.4,128,155,82.6,61,101,60.4,2,1.6,2.0,18,33,14,8,38,434,383,51,12,1,3,32,19,9,1,8,0,339,0,11,36,26,4,0,4,0,2,4,2,1,0,1,0,0,15,14,6,6,3,6,23,26.1,17,12,4,8,16,31,9,1,559,58,146,249,173,35,559,33,11,33.3,20,60.6,387,2259,889,20,14,4,11,10,337,38,3,0,0,14,8,0,32,16,14,0,1,0,59,11,10,52.4
