league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
,0809,Arminia,2008-08-16 Arminia-Werder Bremen,2008-08-16,,Matchweek 1,Sat,Home,D,2,2,Werder Bremen,,,,4-3-3,4-1-2-1-2,Jochen Drees,/en/matches/8f3e15f2/Arminia-Werder-Bremen-August-16-2008-Bundesliga,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0809,Arminia,2008-08-23 Hertha BSC-Arminia,2008-08-23,,Matchweek 2,Sat,Away,D,1,1,Hertha BSC,,,,4-4-2,4-3-2-1,Markus Schmidt,/en/matches/9ba2e699/Hertha-BSC-Arminia-August-23-2008-Bundesliga,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
,0809,Arminia,2008-08-30 Arminia-Hamburger SV,2008-08-30,,Matchweek 3,Sat,Home,L,2,4,Hamburger SV,,,,4-3-3,4-4-2,Herbert Fandel,/en/matches/7b518b07/Arminia-Hamburger-SV-August-30-2008-Bundesliga,,,4,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0809,Arminia,2008-09-14 Bochum-Arminia,2008-09-14,,Matchweek 4,Sun,Away,L,0,2,Bochum,,,,4-4-2,4-1-2-1-2,Peter Gagelmann,/en/matches/aa9771ea/Bochum-Arminia-September-14-2008-Bundesliga,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0809,Arminia,2008-09-20 Arminia-Köln,2008-09-20,,Matchweek 5,Sat,Home,W,2,0,Köln,,,,4-3-3,4-2-3-1,Michael Kempter,/en/matches/a108ce8b/Arminia-Koln-September-20-2008-Bundesliga,,,0,,,1,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0809,Arminia,2008-09-28 Eint Frankfurt-Arminia,2008-09-28,,Matchweek 6,Sun,Away,D,1,1,Eint Frankfurt,,,,4-3-3,4-3-3,Wolfgang Stark,/en/matches/3bd8fae4/Eintracht-Frankfurt-Arminia-September-28-2008-Bundesliga,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0809,Arminia,2008-10-03 Arminia-Karlsruher,2008-10-03,,Matchweek 7,Fri,Home,L,1,2,Karlsruher,,,,4-3-3,4-2-3-1,Michael Weiner,/en/matches/bdf7e8c4/Arminia-Karlsruher-October-3-2008-Bundesliga,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0809,Arminia,2008-10-18 Wolfsburg-Arminia,2008-10-18,,Matchweek 8,Sat,Away,L,1,4,Wolfsburg,,,,4-1-2-1-2◆,4-1-2-1-2,Herbert Fandel,/en/matches/3922fb80/Wolfsburg-Arminia-October-18-2008-Bundesliga,,,4,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0809,Arminia,2008-10-25 Schalke 04-Arminia,2008-10-25,,Matchweek 9,Sat,Away,D,0,0,Schalke 04,,,,4-2-3-1,4-3-3,Guido Winkmann,/en/matches/80481f6c/Schalke-04-Arminia-October-25-2008-Bundesliga,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,0
,0809,Arminia,2008-10-28 Arminia-Energie Cottbus,2008-10-28,,Matchweek 10,Tue,Home,D,1,1,Energie Cottbus,,,,4-2-3-1,4-4-2,Babak Rafati,/en/matches/8fec5d8d/Arminia-Energie-Cottbus-October-28-2008-Bundesliga,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
