league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Performance PSxG,Performance PSxG+/-,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
,1718,Augsburg,2017-08-13 Magdeburg-Augsburg,2017-08-13,18:30:00,First round,Sun,Away,L,0,2,Magdeburg,,,51,21641,Daniel Baier,4-2-3-1,3-4-3,Guido Winkmann,/en/matches/b1c5b8f7/Magdeburg-Augsburg-August-13-2017-DFB-Pokal,,9,2,7,77.8,0,,,0,0,0,0,,,,,,,,,,,,,,,,0,11,5,45.5,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,19,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,13,8,3,13,19,13,,,0,,,,
,1718,Augsburg,2017-08-19 Hamburger SV-Augsburg,2017-08-19,15:30:00,Matchweek 1,Sat,Away,L,0,1,Hamburger SV,0.8,0.5,64,49449,Daniel Baier,4-2-3-1,4-2-3-1,Daniel Siebert,/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga,,5,1,4,80.0,0,1.3,0.3,0,0,0,0,7,16,43.8,37,9,37.8,32.3,3,66.7,49.0,11,2,18.2,3,18.1,0,14,1,7.1,0.0,0.0,16.8,1,0,0,0.8,0.8,0.06,-0.8,-0.8,415,550,75.5,7657,3004,158,182,86.8,162,198,81.8,60,109,55.0,0,0.7,1.4,12,33,20,9,40,550,485,64,17,0,7,36,35,7,4,2,0,415,1,18,28,25,1,0,0,2,0,0,0,0,0,0,0,0,23,19,15,6,2,12,13,92.3,1,9,2,7,8,31,21,1,653,46,190,293,177,34,653,17,9,52.9,8,47.1,331,1803,960,16,15,2,12,9,414,40,3,0,0,16,18,1,36,8,19,0,0,0,48,27,23,54.0
,1718,Augsburg,2017-08-26 Augsburg-Gladbach,2017-08-26,15:30:00,Matchweek 2,Sat,Home,D,2,2,Gladbach,2.7,1.3,50,29243,Daniel Baier,4-1-4-1,4-4-2,Sascha Stegemann,/en/matches/3d33cbcd/Augsburg-Monchengladbach-August-26-2017-Bundesliga,,3,2,1,33.3,0,1.3,-0.7,0,0,0,0,13,18,72.2,22,3,54.5,42.1,11,54.5,46.0,4,0,0.0,2,14.2,2,24,9,37.5,0.08,0.22,16.0,0,0,0,2.7,2.7,0.11,-0.7,-0.7,372,479,77.7,7812,3436,137,152,90.1,151,179,84.4,73,117,62.4,2,2.5,3.1,21,49,13,4,54,479,428,50,13,2,2,39,13,10,3,7,0,372,1,14,41,26,6,0,6,2,1,4,4,0,0,0,0,0,28,18,8,14,6,17,20,85.0,3,16,6,10,14,42,14,1,602,54,154,282,172,33,602,12,3,25.0,9,75.0,263,1400,763,19,10,5,7,5,367,53,2,0,0,13,12,1,39,14,18,0,0,0,44,23,12,65.7
,1718,Augsburg,2017-09-09 Augsburg-Köln,2017-09-09,15:30:00,Matchweek 3,Sat,Home,W,3,0,Köln,2.3,0.7,34,27510,Daniel Baier,4-2-3-1,4-4-2,Tobias Stieler,/en/matches/7e929ab2/Augsburg-Koln-September-9-2017-Bundesliga,,3,0,3,100.0,1,0.7,0.7,0,0,0,0,12,26,46.2,25,2,68.0,46.5,10,90.0,53.3,22,3,13.6,0,5.0,3,9,3,33.3,0.22,0.67,15.8,0,1,1,2.3,1.5,0.17,0.7,0.5,188,313,60.1,3687,2134,69,96,71.9,55,99,55.6,38,75,50.7,1,1.1,1.0,8,21,7,4,22,313,256,57,13,1,2,19,27,6,3,3,0,188,0,10,17,12,3,0,1,1,0,5,2,1,0,1,1,0,27,20,18,8,1,12,19,63.2,7,18,5,13,16,43,42,0,445,53,170,164,118,16,444,9,0,0.0,9,100.0,154,1246,712,20,12,2,15,8,182,21,0,0,0,15,13,0,19,16,20,1,0,0,46,19,26,42.2
,1718,Augsburg,2017-09-16 Eint Frankfurt-Augsburg,2017-09-16,15:30:00,Matchweek 4,Sat,Away,W,2,1,Eint Frankfurt,0.7,1.5,35,46500,Daniel Baier,4-2-3-1,3-1-4-2,Christian Dingert,/en/matches/a357fa5b/Eintracht-Frankfurt-Augsburg-September-16-2017-Bundesliga,,8,1,7,87.5,0,1.4,0.4,0,0,0,0,17,29,58.6,28,7,60.7,43.2,15,80.0,53.3,21,3,14.3,0,7.0,2,11,3,27.3,0.18,0.67,19.4,2,0,0,0.7,0.7,0.07,1.3,1.3,205,322,63.7,4426,2425,87,110,79.1,65,98,66.3,46,92,50.0,1,0.5,0.5,7,18,4,1,20,322,270,49,12,0,1,14,16,4,0,3,0,205,3,8,18,10,0,3,2,2,1,3,2,0,0,0,1,0,27,23,20,6,1,11,22,50.0,11,15,6,9,15,42,43,0,459,82,214,161,92,18,459,14,6,42.9,8,57.1,159,900,515,12,11,4,14,6,202,20,3,0,0,13,12,3,14,15,23,0,0,0,36,25,28,47.2
,1718,Augsburg,2017-09-19 Augsburg-RB Leipzig,2017-09-19,20:30:00,Matchweek 5,Tue,Home,W,1,0,RB Leipzig,1.2,1.1,33,26113,Daniel Baier,4-1-2-1-2◆,4-2-2-2,Daniel Siebert,/en/matches/19965925/Augsburg-RB-Leipzig-September-19-2017-Bundesliga,,3,0,3,100.0,1,1.1,1.1,0,0,0,0,8,21,38.1,20,4,55.0,40.7,11,90.9,60.9,10,0,0.0,0,13.5,1,11,4,36.4,0.09,0.25,20.3,0,0,0,1.2,1.2,0.11,-0.2,-0.2,218,357,61.1,4051,2300,98,130,75.4,77,111,69.4,33,90,36.7,1,1.0,0.6,6,19,3,1,19,357,299,53,18,0,0,12,20,3,2,1,0,218,5,8,15,13,1,1,0,0,0,1,1,0,0,0,0,0,19,16,10,7,2,11,14,78.6,3,7,1,6,17,36,24,0,460,54,178,200,92,11,460,11,5,45.5,6,54.5,188,906,531,13,12,3,17,5,215,18,2,0,0,15,16,5,12,17,16,0,0,0,47,12,26,31.6
,1718,Augsburg,2017-09-23 Stuttgart-Augsburg,2017-09-23,15:30:00,Matchweek 6,Sat,Away,D,0,0,Stuttgart,0.4,0.7,37,55202,Alfreð Finnbogason,3-4-3,3-4-3,Harm Osmers,/en/matches/be29160b/Stuttgart-Augsburg-September-23-2017-Bundesliga,,2,0,2,100.0,1,0.2,0.2,0,0,0,0,9,18,50.0,21,4,57.1,46.2,13,46.2,43.3,15,1,6.7,1,10.6,0,9,3,33.3,0.0,0.0,22.7,1,0,0,0.4,0.4,0.05,-0.4,-0.4,242,375,64.5,5087,2676,94,124,75.8,95,128,74.2,50,101,49.5,0,0.3,0.6,7,26,3,2,30,375,329,45,7,0,2,15,21,3,2,1,0,242,1,16,15,11,1,2,0,1,0,0,0,0,0,0,0,0,16,13,6,7,3,7,13,53.8,6,14,4,10,13,29,21,0,483,61,167,217,104,11,483,17,7,41.2,10,58.8,188,1007,448,15,8,2,17,10,238,29,2,0,0,15,7,1,15,13,13,0,0,0,46,32,33,49.2
,1718,Augsburg,2017-09-30 Augsburg-Dortmund,2017-09-30,15:30:00,Matchweek 7,Sat,Home,L,1,2,Dortmund,1.5,2.0,41,30660,Alfreð Finnbogason,4-2-3-1,4-3-3,Marco Fritz,/en/matches/c1f54533/Augsburg-Dortmund-September-30-2017-Bundesliga,,8,2,5,75.0,0,2.5,0.5,1,0,1,0,4,14,28.6,19,7,63.2,41.7,4,50.0,43.5,12,0,0.0,1,14.0,1,10,5,50.0,0.1,0.2,14.1,0,0,0,1.5,1.5,0.15,-0.5,-0.5,209,360,58.1,3561,1917,95,125,76.0,62,101,61.4,32,94,34.0,1,1.5,1.5,8,16,6,4,26,360,297,58,13,0,1,27,33,5,2,2,0,209,5,9,18,12,3,0,1,1,1,1,1,0,0,0,0,0,25,17,17,7,1,16,25,64.0,9,9,3,6,14,39,27,2,474,65,168,194,120,12,474,14,7,50.0,7,50.0,173,1001,506,12,11,0,13,8,204,26,4,0,0,23,12,5,27,14,17,0,1,0,51,16,21,43.2
,1718,Augsburg,2017-10-14 Hoffenheim-Augsburg,2017-10-14,15:30:00,Matchweek 8,Sat,Away,D,2,2,Hoffenheim,0.9,1.8,46,27014,Daniel Baier,3-4-3,3-5-2,Manuel Gräfe,/en/matches/deab105c/Hoffenheim-Augsburg-October-14-2017-Bundesliga,,7,2,5,71.4,0,2.1,0.1,0,0,0,0,5,12,41.7,28,6,21.4,31.2,13,46.2,40.2,19,0,0.0,1,15.3,1,12,4,33.3,0.08,0.25,18.6,0,0,0,0.9,0.9,0.07,0.1,0.1,314,420,74.8,6116,2614,116,138,84.1,139,168,82.7,49,85,57.6,1,0.8,1.0,10,17,5,2,24,420,360,58,8,0,2,18,31,3,2,1,0,314,2,14,22,15,6,0,1,0,0,2,2,0,0,0,0,0,19,13,8,11,0,8,10,80.0,2,11,7,4,14,33,25,0,520,66,178,243,107,18,520,9,4,44.4,5,55.6,229,1284,769,19,16,6,15,9,312,24,0,0,0,11,5,2,18,14,13,0,0,0,44,16,19,45.7
,1718,Augsburg,2017-10-21 Augsburg-Hannover 96,2017-10-21,15:30:00,Matchweek 9,Sat,Home,L,1,2,Hannover 96,1.0,1.2,50,25971,Daniel Baier,4-2-3-1,4-4-2,Sascha Stegemann,/en/matches/8d9c9591/Augsburg-Hannover-96-October-21-2017-Bundesliga,,6,2,4,66.7,0,2.1,0.1,0,0,0,0,9,15,60.0,32,5,43.8,38.6,6,16.7,28.7,11,1,9.1,2,15.8,1,15,5,33.3,0.07,0.2,18.2,0,0,0,1.0,1.0,0.07,0.0,0.0,247,406,60.8,4908,2336,92,130,70.8,95,143,66.4,45,102,44.1,1,0.9,0.8,11,22,7,4,29,406,341,63,12,0,6,27,31,11,1,9,0,247,2,9,24,18,3,1,1,0,1,1,1,0,0,0,0,0,24,18,7,12,5,9,11,81.8,2,9,1,8,13,37,28,0,534,55,175,216,150,21,534,15,7,46.7,8,53.3,209,1327,665,16,13,4,17,10,245,28,1,0,0,13,10,2,27,13,18,0,0,0,46,26,37,41.3
,1718,Augsburg,2017-10-29 Werder Bremen-Augsburg,2017-10-29,15:30:00,Matchweek 10,Sun,Away,W,3,0,Werder Bremen,2.9,0.7,39,40500,Daniel Baier,4-2-3-1,3-1-4-2,Sören Storks,/en/matches/553962af/Werder-Bremen-Augsburg-October-29-2017-Bundesliga,,2,0,2,100.0,1,0.2,0.2,0,0,0,0,13,24,54.2,29,4,62.1,41.5,11,54.5,38.6,23,2,8.7,0,8.0,3,16,5,31.3,0.13,0.4,17.1,0,1,1,2.9,2.1,0.13,0.1,-0.1,268,369,72.6,4696,2369,113,133,85.0,99,123,80.5,34,77,44.2,2,2.0,0.9,13,16,8,4,29,369,324,43,14,0,2,20,14,3,2,1,0,268,2,6,31,22,2,3,1,2,1,6,4,0,0,0,1,1,17,14,6,10,1,4,7,57.1,3,17,7,10,15,32,24,1,483,65,208,205,77,19,482,9,5,55.6,4,44.4,206,1323,761,19,12,3,16,13,264,29,0,0,0,12,15,2,20,15,14,1,0,0,56,18,24,42.9
,1718,Augsburg,2017-11-04 Augsburg-Leverkusen,2017-11-04,15:30:00,Matchweek 11,Sat,Home,D,1,1,Leverkusen,1.7,0.8,40,26133,Daniel Baier,4-2-3-1,4-2-3-1,Christian Dingert,/en/matches/48c2a77b/Augsburg-Bayer-Leverkusen-November-4-2017-Bundesliga,,3,1,2,66.7,0,0.1,-0.9,0,0,0,0,5,9,55.6,16,2,37.5,31.7,4,75.0,50.5,13,0,0.0,0,11.0,1,13,4,30.8,0.08,0.25,14.8,1,0,0,1.7,1.7,0.14,-0.7,-0.7,266,375,70.9,4861,1959,117,146,80.1,97,125,77.6,40,75,53.3,0,0.9,1.2,9,19,10,6,30,375,326,46,13,0,2,28,21,6,5,1,0,266,3,11,21,12,4,1,2,2,0,1,0,0,0,1,0,0,19,10,8,7,4,9,19,47.4,10,14,4,10,11,30,23,1,474,36,157,191,132,22,474,7,4,57.1,3,42.9,204,1373,726,11,8,3,13,8,266,30,3,0,0,14,14,3,28,11,10,0,0,0,48,22,26,45.8
,1718,Augsburg,2017-11-18 Bayern Munich-Augsburg,2017-11-18,15:30:00,Matchweek 12,Sat,Away,L,0,3,Bayern Munich,0.3,2.0,27,75000,Daniel Baier,4-2-3-1,4-3-3,Markus Schmidt,/en/matches/1125997d/Bayern-Munich-Augsburg-November-18-2017-Bundesliga,,5,3,2,40.0,0,1.7,-1.3,0,0,0,0,9,19,47.4,25,3,48.0,40.7,11,63.6,47.0,19,0,0.0,0,8.5,0,8,3,37.5,0.0,0.0,25.7,2,0,0,0.3,0.3,0.04,-0.3,-0.3,177,285,62.1,3969,1906,46,67,68.7,93,132,70.5,35,76,46.1,0,0.2,0.3,3,14,1,0,18,285,236,48,11,0,5,11,19,3,1,2,0,177,1,7,12,6,2,0,1,3,0,0,0,0,0,0,0,0,11,9,7,4,0,5,15,33.3,10,10,5,5,13,24,23,1,366,63,164,161,43,10,366,16,12,75.0,4,25.0,135,744,295,7,3,3,7,10,172,17,3,0,0,16,13,1,11,13,9,0,0,0,20,15,17,46.9
,1718,Augsburg,2017-11-25 Augsburg-Wolfsburg,2017-11-25,15:30:00,Matchweek 13,Sat,Home,W,2,1,Wolfsburg,2.4,0.2,57,26541,Daniel Baier,4-2-3-1,4-2-3-1,Tobias Stieler,/en/matches/201cd31a/Augsburg-Wolfsburg-November-25-2017-Bundesliga,,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,2,4,50.0,13,2,15.4,29.9,2,100.0,60.0,6,0,0.0,0,9.0,2,23,8,34.8,0.09,0.25,20.9,2,0,0,2.4,2.4,0.1,-0.4,-0.4,399,494,80.8,7464,2718,151,163,92.6,163,198,82.3,60,92,65.2,2,2.1,2.2,17,43,12,1,60,494,445,46,11,3,4,34,25,6,5,1,0,399,3,10,41,31,3,0,1,4,2,4,4,0,0,0,0,0,17,10,8,7,2,7,16,43.8,9,7,1,6,14,31,11,1,588,23,108,288,198,44,588,14,4,28.6,10,71.4,310,2283,1239,32,25,9,10,2,396,60,1,0,0,10,12,3,34,14,10,0,0,0,51,6,16,27.3
,1718,Augsburg,2017-12-02 Mainz 05-Augsburg,2017-12-02,15:30:00,Matchweek 14,Sat,Away,W,3,1,Mainz 05,2.2,0.8,42,25037,Daniel Baier,4-2-3-1,4-3-3,Frank Willenborg,/en/matches/b1d57dce/Mainz-05-Augsburg-December-2-2017-Bundesliga,,5,1,4,80.0,0,0.8,-0.2,0,0,0,0,9,18,50.0,26,3,50.0,39.6,10,50.0,38.9,15,1,6.7,0,10.3,3,9,3,33.3,0.22,0.67,21.5,1,1,1,2.2,1.5,0.17,0.8,0.5,221,347,63.7,4438,2375,72,98,73.5,91,123,74.0,39,88,44.3,2,1.4,0.7,6,16,4,1,22,347,287,59,16,0,5,14,28,3,0,3,0,221,1,13,18,12,0,0,2,3,1,5,3,0,0,1,1,0,32,23,16,14,2,15,22,68.2,7,13,2,11,15,47,23,0,462,56,181,206,90,15,461,19,7,36.8,12,63.2,198,1348,717,14,11,3,10,9,220,22,1,0,0,16,17,1,14,15,23,1,0,0,54,18,32,36.0
