league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ITA-Serie A,0708,Atalanta,2007-08-26 Reggina-Atalanta,2007-08-26,,Matchweek 1,Sun,Away,D,1,1,Reggina,,,,,,Christian Brighi,/en/matches/b8082b0b/Reggina-Atalanta-August-26-2007-Serie-A,,,1,,,0,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,0
ITA-Serie A,0708,Atalanta,2007-09-02 Atalanta-Parma,2007-09-02,,Matchweek 2,Sun,Home,W,2,0,Parma,,,,,,Luca Marelli,/en/matches/e0a94357/Atalanta-Parma-September-2-2007-Serie-A,,,0,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0708,Atalanta,2007-09-16 Fiorentina-Atalanta,2007-09-16,,Matchweek 3,Sun,Away,D,2,2,Fiorentina,,,,,,Domenico Celi,/en/matches/7c067399/Fiorentina-Atalanta-September-16-2007-Serie-A,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,1
ITA-Serie A,0708,Atalanta,2007-09-23 Atalanta-Lazio,2007-09-23,,Matchweek 4,Sun,Home,W,2,1,Lazio,,,,,,Nicola Stefanini,/en/matches/9c9bc5a5/Atalanta-Lazio-September-23-2007-Serie-A,,,1,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
ITA-Serie A,0708,Atalanta,2007-09-26 Siena-Atalanta,2007-09-26,,Matchweek 5,Wed,Away,D,1,1,Siena,,,,,,Luca Palanca,/en/matches/22ae7f97/Siena-Atalanta-September-26-2007-Serie-A,,,1,,,0,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,0
ITA-Serie A,0708,Atalanta,2007-09-30 Sampdoria-Atalanta,2007-09-30,,Matchweek 6,Sun,Away,L,0,3,Sampdoria,,,,,,Nicola Ayroldi,/en/matches/0f9a35b5/Sampdoria-Atalanta-September-30-2007-Serie-A,,,3,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0708,Atalanta,2007-10-06 Atalanta-Udinese,2007-10-06,,Matchweek 7,Sat,Home,D,0,0,Udinese,,,,,,Paolo Dondarini,/en/matches/fa5f8084/Atalanta-Udinese-October-6-2007-Serie-A,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0708,Atalanta,2007-10-21 Atalanta-Torino,2007-10-21,,Matchweek 8,Sun,Home,D,2,2,Torino,,,,,,Andrea De Marco,/en/matches/fca540a3/Atalanta-Torino-October-21-2007-Serie-A,,,2,,,0,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0708,Atalanta,2007-10-28 Empoli-Atalanta,2007-10-28,,Matchweek 9,Sun,Away,W,1,0,Empoli,,,,,,Christian Brighi,/en/matches/330c0042/Empoli-Atalanta-October-28-2007-Serie-A,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0708,Atalanta,2007-10-31 Atalanta-Cagliari,2007-10-31,,Matchweek 10,Wed,Home,D,2,2,Cagliari,,,,,,Matteo Trefoloni,/en/matches/8138d691/Atalanta-Cagliari-October-31-2007-Serie-A,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,,,0
