league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
,0506,Ajax,2005-08-10 Brøndby-Ajax,2005-08-10,,Third qualifying round,Wed,Away,D,2,2,Brøndby,,,,,,Massimo De Santis,/en/matches/df380023/Brondby-Ajax-August-10-2005-Champions-League,Leg 1 of 2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,1
,0506,Ajax,2005-08-20 RBC Roosendaal-Ajax,2005-08-20,,Matchweek 2,Sat,Away,W,2,0,RBC Roosendaal,,,,,,Reinold Wiedemeijer,/en/matches/4d3e355e/RBC-Roosendaal-Ajax-August-20-2005-Eredivisie,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0506,Ajax,2005-08-24 Ajax-Brøndby,2005-08-24,,Third qualifying round,Wed,Home,W,3,1,Brøndby,,,,,,Markus Merk,/en/matches/9c83a4ed/Ajax-Brondby-August-24-2005-Champions-League,Leg 2 of 2; Ajax won,,,,,,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0506,Ajax,2005-08-28 Ajax-Feyenoord,2005-08-28,,Matchweek 3,Sun,Home,L,1,2,Feyenoord,,,,,,Dick van Egmond,/en/matches/3570c87b/De-Klassieker-Ajax-Feyenoord-August-28-2005-Eredivisie,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0506,Ajax,2005-09-10 Willem II-Ajax,2005-09-10,,Matchweek 4,Sat,Away,W,2,0,Willem II,,,,,,Ben Haverkort,/en/matches/47c8253c/Willem-II-Ajax-September-10-2005-Eredivisie,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,0
,0506,Ajax,2005-09-14 Sparta Prague-Ajax,2005-09-14,,Group stage,Wed,Away,D,1,1,Sparta Prague,,,,,,Claus Bo Larsen,/en/matches/69aa4e86/Sparta-Prague-Ajax-September-14-2005-Champions-League,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0506,Ajax,2005-09-18 AZ Alkmaar-Ajax,2005-09-18,,Matchweek 5,Sun,Away,L,2,4,AZ Alkmaar,,,,,,Roelof Luinge,/en/matches/785f3c13/AZ-Alkmaar-Ajax-September-18-2005-Eredivisie,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,0
,0506,Ajax,2005-09-21 Ajax-ADO Den Haag,2005-09-21,,Matchweek 1,Wed,Home,D,2,2,ADO Den Haag,,,,,,Eric Braamhaar,/en/matches/bcac0832/Ajax-ADO-Den-Haag-September-21-2005-Eredivisie,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,0
,0506,Ajax,2005-09-24 Ajax-Roda JC,2005-09-24,,Matchweek 6,Sat,Home,W,4,1,Roda JC,,,,,,René Temmink,/en/matches/bff5657d/Ajax-Roda-JC-September-24-2005-Eredivisie,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0506,Ajax,2005-09-27 Ajax-Arsenal,2005-09-27,,Group stage,Tue,Home,L,1,2,Arsenal,,,,,,Medina Cantalejo,/en/matches/e3d85a4d/Ajax-Arsenal-September-27-2005-Champions-League,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
,0506,Ajax,2005-10-02 Sparta R'dam-Ajax,2005-10-02,,Matchweek 7,Sun,Away,W,2,1,Sparta R'dam,,,,,,Ruud Bossen,/en/matches/4efa1e1d/Sparta-Rotterdam-Ajax-October-2-2005-Eredivisie,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
,0506,Ajax,2005-10-15 Ajax-Heracles Almelo,2005-10-15,,Matchweek 8,Sat,Home,D,0,0,Heracles Almelo,,,,,,Tom van Sichem,/en/matches/6f358e55/Ajax-Heracles-Almelo-October-15-2005-Eredivisie,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0506,Ajax,2005-10-18 Ajax-Thun,2005-10-18,,Group stage,Tue,Home,W,2,0,Thun,,,,,,Roberto Rosetti,/en/matches/da585b3e/Ajax-Thun-October-18-2005-Champions-League,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0506,Ajax,2005-10-23 PSV Eindhoven-Ajax,2005-10-23,,Matchweek 9,Sun,Away,L,0,1,PSV Eindhoven,,,,,,Pieter Vink,/en/matches/80e17347/PSV-Eindhoven-Ajax-October-23-2005-Eredivisie,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
,0506,Ajax,2005-10-28 Ajax-Heerenveen,2005-10-28,,Matchweek 10,Fri,Home,D,0,0,Heerenveen,,,,,,Jack van Hulten,/en/matches/9ebd2f68/Ajax-Heerenveen-October-28-2005-Eredivisie,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0506,Ajax,2005-11-02 Thun-Ajax,2005-11-02,,Group stage,Wed,Away,W,4,2,Thun,,,,,,Vladimir Hrinak,/en/matches/d2bd3a4b/Thun-Ajax-November-2-2005-Champions-League,,,,,,,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0506,Ajax,2005-11-06 NEC Nijmegen-Ajax,2005-11-06,,Matchweek 11,Sun,Away,L,0,1,NEC Nijmegen,,,,,,Jan Wegereef,/en/matches/bf1f6876/NEC-Nijmegen-Ajax-November-6-2005-Eredivisie,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0506,Ajax,2005-11-19 Ajax-Twente,2005-11-19,,Matchweek 12,Sat,Home,W,2,0,Twente,,,,,,Reinold Wiedemeijer,/en/matches/b68f5a5e/Ajax-Twente-November-19-2005-Eredivisie,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0506,Ajax,2005-11-22 Ajax-Sparta Prague,2005-11-22,,Group stage,Tue,Home,W,2,1,Sparta Prague,,,,,,Valentin Ivanov,/en/matches/7a9539ec/Ajax-Sparta-Prague-November-22-2005-Champions-League,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0506,Ajax,2005-11-27 Utrecht-Ajax,2005-11-27,,Matchweek 13,Sun,Away,L,0,1,Utrecht,,,,,,Johan Verbist,/en/matches/853bae7c/Utrecht-Ajax-November-27-2005-Eredivisie,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0506,Ajax,2005-12-04 Ajax-RKC Waalwijk,2005-12-04,,Matchweek 14,Sun,Home,W,4,1,RKC Waalwijk,,,,,,Ruud Bossen,/en/matches/8d8eb627/Ajax-RKC-Waalwijk-December-4-2005-Eredivisie,,,,,,,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0506,Ajax,2005-12-07 Arsenal-Ajax,2005-12-07,,Group stage,Wed,Away,D,0,0,Arsenal,,,,,,Iturralde González,/en/matches/38368743/Arsenal-Ajax-December-7-2005-Champions-League,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0506,Ajax,2005-12-11 Vitesse-Ajax,2005-12-11,,Matchweek 15,Sun,Away,W,2,0,Vitesse,,,,,,Pieter Vink,/en/matches/9810eba5/Vitesse-Ajax-December-11-2005-Eredivisie,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0506,Ajax,2005-12-18 NAC Breda-Ajax,2005-12-18,,Matchweek 16,Sun,Away,W,2,0,NAC Breda,,,,,,Dick Jol,/en/matches/e57a4907/NAC-Breda-Ajax-December-18-2005-Eredivisie,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
,0506,Ajax,2005-12-27 Ajax-Groningen,2005-12-27,,Matchweek 17,Tue,Home,W,3,2,Groningen,,,,,,Rien Koopman,/en/matches/870298a8/Ajax-Groningen-December-27-2005-Eredivisie,,,,,,,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0506,Ajax,2005-12-30 Heerenveen-Ajax,2005-12-30,,Matchweek 18,Fri,Away,L,2,4,Heerenveen,,,,,,Reinold Wiedemeijer,/en/matches/6328ba64/Heerenveen-Ajax-December-30-2005-Eredivisie,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0506,Ajax,2006-01-15 Ajax-NEC Nijmegen,2006-01-15,,Matchweek 19,Sun,Home,D,1,1,NEC Nijmegen,,,,,,Ruud Bossen,/en/matches/e9c16214/Ajax-NEC-Nijmegen-January-15-2006-Eredivisie,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0506,Ajax,2006-01-22 Twente-Ajax,2006-01-22,,Matchweek 20,Sun,Away,W,3,2,Twente,,,,,,Jan Wegereef,/en/matches/c339a43b/Twente-Ajax-January-22-2006-Eredivisie,,,,,,,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
,0506,Ajax,2006-01-29 Ajax-Utrecht,2006-01-29,,Matchweek 21,Sun,Home,L,1,4,Utrecht,,,,,,Dick Jol,/en/matches/48eaec9b/Ajax-Utrecht-January-29-2006-Eredivisie,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
