league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Performance PSxG,Performance PSxG+/-,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
,1920,Ajax,2019-08-03 Vitesse-Ajax,2019-08-03,18:30:00,Matchweek 1,Sat,Away,D,2,2,Vitesse,,,69,18100,Dušan Tadić,4-3-3,4-4-2,Bas Nijhuis,/en/matches/c2f50e3b/Vitesse-Ajax-August-3-2019-Eredivisie,,3,2,1,33.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,2,26,9,34.6,0.08,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,13,15,2,17,9,12,,,0,,,,
,1920,Ajax,2019-08-06 PAOK-Ajax,2019-08-06,20:00:00,Third qualifying round,Tue,Away,D,2,2,PAOK,,,,23418,Dušan Tadić,4-3-3,4-4-2,Slavko Vinčič,/en/matches/826f457b/PAOK-Ajax-August-6-2019-Champions-League,Leg 1 of 2,,2,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,2,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,
,1920,Ajax,2019-08-10 Ajax-Emmen,2019-08-10,19:45:00,Matchweek 2,Sat,Home,W,5,0,Emmen,,,59,53124,Dušan Tadić,4-3-3,4-2-3-1,Serdar Gözübüyük,/en/matches/889530dd/Ajax-Emmen-August-10-2019-Eredivisie,,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,5,32,12,37.5,0.16,0.42,,,0,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,15,8,3,16,14,14,,,0,,,,
,1920,Ajax,2019-08-13 Ajax-PAOK,2019-08-13,20:30:00,Third qualifying round,Tue,Home,W,3,2,PAOK,,,,53942,Dušan Tadić,4-3-3,4-4-2,Craig Pawson,/en/matches/af8b0d08/Ajax-PAOK-August-13-2019-Champions-League,Leg 2 of 2; Ajax won,,2,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,3,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0,,,,
,1920,Ajax,2019-08-17 VVV-Venlo-Ajax,2019-08-17,18:30:00,Matchweek 3,Sat,Away,W,4,1,VVV-Venlo,,,74,8000,Dušan Tadić,4-3-3,4-3-3,Danny Makkelie,/en/matches/5470c6f2/VVV-Venlo-Ajax-August-17-2019-Eredivisie,,4,1,3,75.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,4,20,9,45.0,0.15,0.33,,,1,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,7,3,0,26,5,2,,,0,,,,
,1920,Ajax,2019-08-20 APOEL-Ajax,2019-08-20,22:00:00,Play-off round,Tue,Away,D,0,0,APOEL,,,72,14549,Dušan Tadić,4-2-3-1,4-4-2,Antonio Matéu Lahoz,/en/matches/df34c481/APOEL-Ajax-August-20-2019-Champions-League,Leg 1 of 2,3,0,3,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,0,19,6,31.6,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,16,8,1,19,11,11,,,0,,,,
,1920,Ajax,2019-08-28 Ajax-APOEL,2019-08-28,21:00:00,Play-off round,Wed,Home,W,2,0,APOEL,,,68,51645,Dušan Tadić,4-2-3-1,4-5-1,Felix Zwayer,/en/matches/9b64a465/Ajax-APOEL-August-28-2019-Champions-League,Leg 2 of 2; Ajax won,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,2,23,9,39.1,0.09,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,15,17,3,19,8,8,,,0,,,,
,1920,Ajax,2019-09-01 Sparta R'dam-Ajax,2019-09-01,14:30:00,Matchweek 5,Sun,Away,W,4,1,Sparta R'dam,,,65,10599,Dušan Tadić,4-2-3-1,4-4-2,Jochem Kamphuis,/en/matches/04c0fdae/Sparta-Rotterdam-Ajax-September-1-2019-Eredivisie,,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,4,15,6,40.0,0.2,0.5,,,1,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,12,2,20,14,8,,,0,,,,
,1920,Ajax,2019-09-14 Ajax-Heerenveen,2019-09-14,18:30:00,Matchweek 6,Sat,Home,W,4,1,Heerenveen,,,66,52921,Dušan Tadić,4-3-3,4-3-3,Allard Lindhout,/en/matches/b095587c/Ajax-Heerenveen-September-14-2019-Eredivisie,,4,1,3,75.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,4,29,12,41.4,0.14,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,7,7,1,22,9,10,,,0,,,,
,1920,Ajax,2019-09-17 Ajax-Lille,2019-09-17,21:00:00,Group stage,Tue,Home,W,3,0,Lille,1.5,2.0,61,51441,Dušan Tadić,4-2-3-1,4-4-2,Srđan Jovanović,/en/matches/602b7cb7/Ajax-Lille-September-17-2019-Champions-League,,5,0,5,100.0,1,1.4,1.4,0,0,0,0,4,18,22.2,25,5,60.0,40.8,9,33.3,43.1,12,1,8.3,0,16.5,3,15,6,40.0,0.2,0.5,15.4,1,0,0,1.5,1.5,0.1,1.5,1.5,564,671,84.1,8882,2980,298,333,89.5,173,189,91.5,54,82,65.9,3,1.4,1.6,13,41,14,4,60,671,626,43,15,3,9,13,14,4,0,3,0,564,2,7,28,20,2,3,2,1,0,6,4,1,0,1,0,0,33,14,11,14,8,15,25,60.0,10,7,4,3,24,57,21,0,810,65,231,398,187,33,810,18,15,83.3,3,16.7,593,2658,1295,20,17,6,17,17,561,59,1,0,0,9,12,2,13,24,14,0,0,0,73,16,10,61.5
